forecast,form,freq,varname,vdate,date,value
wsj,d1,m,recess,2021-03-10,2021-03-01,12
wsj,d1,m,recess,2021-02-11,2021-02-01,18
wsj,d1,m,recess,2021-01-14,2021-01-01,21
wsj,d1,m,recess,2020-12-10,2020-12-01,24
wsj,d1,m,recess,2020-11-12,2020-11-01,27
wsj,d1,m,recess,2020-10-08,2020-10-01,32
wsj,d1,m,recess,2020-09-10,2020-09-01,37
wsj,d1,m,recess,2020-08-13,2020-08-01,37
wsj,d1,m,recess,2020-07-09,2020-07-01,54
wsj,d1,m,recess,2020-06-11,2020-06-01,74
wsj,d1,m,recess,2020-05-13,2020-05-01,95
wsj,d1,m,recess,2020-04-08,2020-04-01,96
wsj,d1,m,recess,2020-03-12,2020-03-01,49
wsj,d1,m,recess,2020-02-12,2020-02-01,26
wsj,d1,m,recess,2020-01-16,2020-01-01,24
wsj,d1,m,recess,2019-12-18,2019-12-01,26
wsj,d1,m,recess,2019-11-07,2019-11-01,30
wsj,d1,m,recess,2019-10-10,2019-10-01,34
wsj,d1,m,recess,2019-09-12,2019-09-01,35
wsj,d1,m,recess,2019-08-08,2019-08-01,34
wsj,d1,m,recess,2019-07-12,2019-07-01,30
wsj,d1,m,recess,2019-06-13,2019-06-01,30
wsj,d1,m,recess,2019-05-09,2019-05-01,23
wsj,d1,m,recess,2019-04-11,2019-04-01,26
wsj,d1,m,recess,2019-03-14,2019-03-01,25
wsj,d1,m,recess,2019-02-07,2019-02-01,25
wsj,d1,m,recess,2019-01-10,2019-01-01,25
wsj,d1,m,recess,2018-12-13,2018-12-01,22
wsj,d1,m,recess,2018-11-15,2018-11-01,20
wsj,d1,m,recess,2018-10-11,2018-10-01,18
wsj,d1,m,recess,2018-09-13,2018-09-01,18
wsj,d1,m,recess,2018-08-09,2018-08-01,18
wsj,d1,m,recess,2018-06-07,2018-06-01,16
wsj,d1,m,recess,2018-05-10,2018-05-01,15
wsj,d1,m,recess,2018-04-12,2018-04-01,15
wsj,d1,m,recess,2018-02-08,2018-02-01,14
wsj,d1,m,recess,2017-12-13,2017-12-01,14
wsj,d1,m,recess,2017-11-09,2017-11-01,15
wsj,d1,m,recess,2017-10-12,2017-10-01,16
wsj,d1,m,recess,2017-09-07,2017-09-01,16
wsj,d1,m,recess,2017-08-10,2017-08-01,15
wsj,d1,m,recess,2017-07-13,2017-07-01,15
wsj,d1,m,recess,2017-06-08,2017-06-01,16
wsj,d1,m,recess,2017-05-11,2017-05-01,15
wsj,d1,m,recess,2017-04-13,2017-04-01,16
wsj,d1,m,recess,2017-03-16,2017-03-01,14
wsj,d1,m,recess,2017-02-09,2017-02-01,15
wsj,d1,m,recess,2017-01-12,2017-01-01,16
wsj,d1,m,recess,2016-12-08,2016-12-01,17
wsj,d1,m,recess,2016-11-13,2016-11-01,19
wsj,d1,m,recess,2016-10-13,2016-10-01,20
wsj,d1,m,recess,2016-09-08,2016-09-01,20
wsj,d1,m,recess,2016-08-11,2016-08-01,21
wsj,d1,m,recess,2016-07-14,2016-07-01,22
wsj,d1,m,recess,2016-06-09,2016-06-01,21
wsj,d1,m,recess,2016-05-12,2016-05-01,20
wsj,d1,m,recess,2016-04-07,2016-04-01,19
wsj,d1,m,recess,2016-03-10,2016-03-01,20
wsj,d1,m,recess,2016-02-11,2016-02-01,21
wsj,d1,m,recess,2016-01-14,2016-01-01,17
wsj,d1,m,recess,2015-12-10,2015-12-01,15
wsj,d1,m,recess,2015-11-12,2015-11-01,14
wsj,d1,m,recess,2015-10-08,2015-10-01,15
wsj,d1,m,recess,2015-09-11,2015-09-01,10
wsj,d1,m,recess,2015-08-13,2015-08-01,10
wsj,d1,m,recess,2015-06-11,2015-06-01,10
wsj,d1,m,recess,2015-05-14,2015-05-01,12
wsj,d1,m,recess,2015-03-12,2015-03-01,11
wsj,d1,m,recess,2015-02-12,2015-02-01,11
wsj,d1,m,recess,2015-01-15,2015-01-01,12
wsj,d1,m,recess,2014-12-11,2014-12-01,11
wsj,d1,m,recess,2014-11-13,2014-11-01,12
wsj,d1,m,recess,2014-10-09,2014-10-01,12
wsj,d1,m,recess,2014-09-11,2014-09-01,12
wsj,d1,m,recess,2014-08-07,2014-08-01,12
wsj,d1,m,recess,2014-06-12,2014-06-01,11
wsj,d1,m,recess,2014-05-08,2014-05-01,12
wsj,d1,m,recess,2014-04-10,2014-04-01,12
wsj,d1,m,recess,2014-03-13,2014-03-01,12
wsj,d1,m,recess,2014-02-13,2014-02-01,12
wsj,d1,m,recess,2014-01-16,2014-01-01,11
wsj,d1,m,recess,2013-10-13,2013-10-01,16
wsj,d1,m,recess,2013-09-12,2013-09-01,12
wsj,d1,m,recess,2013-08-11,2013-08-01,15
wsj,d1,m,recess,2013-07-18,2013-07-01,13
wsj,d1,m,recess,2013-06-17,2013-06-01,15
wsj,d1,m,recess,2013-05-12,2013-05-01,15
wsj,d1,m,recess,2013-04-11,2013-04-01,15
wsj,d1,m,recess,2013-03-17,2013-03-01,15
wsj,d1,m,recess,2013-02-07,2013-02-01,17
wsj,d1,m,recess,2013-01-10,2013-01-01,19
wsj,d1,m,recess,2012-12-17,2012-12-01,24
wsj,d1,m,recess,2012-11-08,2012-11-01,21
wsj,d1,m,recess,2012-10-12,2012-10-01,22
wsj,d1,m,recess,2012-09-13,2012-09-01,22
wsj,d1,m,recess,2012-07-12,2012-07-01,21
wsj,d1,m,recess,2012-05-14,2012-05-01,16
wsj,d1,m,recess,2012-04-12,2012-04-01,16
wsj,d1,m,recess,2012-03-19,2012-03-01,16
wsj,d1,m,recess,2012-02-13,2012-02-01,16
wsj,d1,m,recess,2012-01-13,2012-01-01,19
wsj,d1,m,recess,2011-12-09,2011-12-01,23
wsj,d1,m,recess,2011-10-14,2011-10-01,31
wsj,d1,m,recess,2011-08-12,2011-08-01,29
wsj,d1,m,recess,2011-07-18,2011-07-01,17
wsj,d1,m,recess,2011-06-13,2011-06-01,16
wsj,d1,m,recess,2011-05-16,2011-05-01,15
wsj,d1,m,recess,2011-04-11,2011-04-01,15
wsj,d1,m,recess,2011-03-14,2011-03-01,14
wsj,d1,m,recess,2011-02-14,2011-02-01,12
wsj,d1,m,recess,2010-12-13,2010-12-01,15
wsj,d1,m,recess,2010-11-16,2010-11-01,16
wsj,d1,m,recess,2010-10-15,2010-10-01,20
wsj,d1,m,recess,2010-09-13,2010-09-01,22
wsj,d1,m,recess,2010-08-13,2010-08-01,19
wsj,d1,m,recess,2010-07-15,2010-07-01,20
wsj,d1,m,recess,2010-03-12,2010-03-01,17
wsj,d1,m,recess,2010-02-11,2010-02-01,15
wsj,d1,m,recess,2010-01-14,2010-01-01,16
